TYLER OBRIEN SHULTZ
Iteration,Time,Sensor,Type,Value
5,5,8,BSA,0
5,5,9,BSA,0
5,5,14,BSA,0
5,5,15,BSA,0
5,5,24,THC,1
5,5,25,THC,1
5,5,30,THC,1
5,5,31,THC,2
5,5,32,THC,2
5,5,33,THC,2
5,5,38,THC,2
5,5,39,THC,2
5,5,44,BSA,1
5,5,48,BIOTIN,4
5,5,55,BIOTIN,5
5,6,56,BIOTIN,6
5,6,63,BIOTIN,7
5,6,69,THC,5
6,6,0,BSA,0
6,6,1,BSA,0
6,6,6,BSA,0
6,6,7,BSA,0
6,6,8,BSA,0
6,6,9,BSA,0
6,6,14,BSA,0
6,6,15,BSA,0
6,6,24,THC,1
6,6,25,THC,1
6,6,30,THC,2
6,6,31,THC,2
6,6,32,THC,2
6,6,33,THC,2
6,6,38,THC,2
6,6,39,THC,3
6,6,44,BSA,1
6,6,48,BIOTIN,5
6,6,55,BIOTIN,6
6,6,56,BIOTIN,6
6,6,63,BIOTIN,7
6,6,69,THC,5
7,7,0,BSA,0
7,7,1,BSA,0
7,7,6,BSA,0
7,7,7,BSA,0
7,7,8,BSA,0
7,7,9,BSA,0
7,7,14,BSA,0
7,7,15,BSA,0
7,7,24,THC,2
7,7,25,THC,2
7,7,30,THC,2
7,7,31,THC,2
7,7,32,THC,2
7,7,33,THC,3
7,7,38,THC,3
7,7,39,THC,3
7,7,44,BSA,2
7,7,48,BIOTIN,6
7,7,55,BIOTIN,7
7,7,56,BIOTIN,7
7,7,63,BIOTIN,8
7,7,69,THC,6
8,7,0,BSA,0
8,7,1,BSA,0
8,7,6,BSA,0
8,8,7,BSA,0
8,8,8,BSA,0
8,8,9,BSA,0
8,8,14,BSA,0
8,8,15,BSA,0
8,8,24,THC,2
8,8,25,THC,2
8,8,30,THC,3
8,8,31,THC,3
8,8,32,THC,3
8,8,33,THC,3
8,8,38,THC,3
8,8,39,THC,4
8,8,44,BSA,2
8,8,48,BIOTIN,7
8,8,55,BIOTIN,8
8,8,56,BIOTIN,8
8,8,63,BIOTIN,9
8,8,69,THC,7
9,8,0,BSA,0
9,8,1,BSA,0
9,8,6,BSA,0
9,8,7,BSA,0
9,8,8,BSA,0
9,8,9,BSA,0
9,8,14,BSA,0
9,8,15,BSA,0
9,8,24,THC,2
9,9,25,THC,2
9,9,30,THC,3
9,9,31,THC,3
9,9,32,THC,3
9,9,33,THC,3
9,9,38,THC,4
9,9,39,THC,4
9,9,44,BSA,2
9,9,48,BIOTIN,8
9,9,55,BIOTIN,9
9,9,56,BIOTIN,9
9,9,63,BIOTIN,11
9,9,69,THC,8
10,9,0,BSA,0
10,9,1,BSA,0
10,9,6,BSA,0
10,9,7,BSA,0
10,9,8,BSA,0
10,9,9,BSA,0
10,9,14,BSA,0
10,9,15,BSA,0
10,9,24,THC,2
10,9,25,THC,2
10,9,30,THC,3
10,9,31,THC,3
10,9,32,THC,3
10,9,33,THC,3
10,9,38,THC,4
10,10,39,THC,5
10,10,44,BSA,2
10,10,48,BIOTIN,9
10,10,55,BIOTIN,10
10,10,56,BIOTIN,10
10,10,63,BIOTIN,12
10,10,69,THC,8
11,10,0,BSA,0
11,10,1,BSA,0
11,10,6,BSA,0
11,10,7,BSA,0
11,10,8,BSA,0
11,10,9,BSA,0
11,10,14,BSA,0
11,10,15,BSA,0
11,10,24,THC,3
11,10,25,THC,3
11,10,30,THC,3
11,10,31,THC,3
11,10,32,THC,4
11,10,33,THC,4
11,10,38,THC,4
11,10,39,THC,5
11,10,44,BSA,2
11,10,48,BIOTIN,9
11,10,55,BIOTIN,10
11,10,56,BIOTIN,10
11,10,63,BIOTIN,12
11,11,69,THC,9
12,11,0,BSA,0
12,11,1,BSA,0
12,11,6,BSA,0
12,11,7,BSA,0
12,11,8,BSA,0
12,11,9,BSA,0
12,11,14,BSA,0
12,11,15,BSA,1
12,11,24,THC,3
12,11,25,THC,3
12,11,30,THC,4
12,11,31,THC,4
12,11,32,THC,4
12,11,33,THC,4
12,11,38,THC,5
12,11,39,THC,5
12,11,44,BSA,3
12,11,48,BIOTIN,10
12,11,55,BIOTIN,11
12,11,56,BIOTIN,11
12,11,63,BIOTIN,13
12,11,69,THC,9
13,11,0,BSA,0
13,11,1,BSA,0
13,11,6,BSA,0
13,11,7,BSA,0
13,11,8,BSA,0
13,12,9,BSA,0
13,12,14,BSA,1
13,12,15,BSA,1
13,12,24,THC,3
13,12,25,THC,3
13,12,30,THC,4
13,12,31,THC,4
13,12,32,THC,4
13,12,33,THC,5
13,12,38,THC,5
13,12,39,THC,5
13,12,44,BSA,3
13,12,48,BIOTIN,11
13,12,55,BIOTIN,12
13,12,56,BIOTIN,12
13,12,63,BIOTIN,14
13,12,69,THC,10
14,12,0,BSA,0
14,12,1,BSA,0
14,12,6,BSA,0
14,12,7,BSA,0
14,12,8,BSA,0
14,12,9,BSA,0
14,12,14,BSA,1
14,12,15,BSA,1
14,12,24,THC,3
14,12,25,THC,3
14,12,30,THC,4
14,13,31,THC,5
14,13,32,THC,5
14,13,33,THC,5
14,13,38,THC,6
14,13,39,THC,6
14,13,44,BSA,3
14,13,48,BIOTIN,11
14,13,55,BIOTIN,13
14,13,56,BIOTIN,13
14,13,63,BIOTIN,15
14,13,69,THC,11
15,13,0,BSA,0
15,13,1,BSA,0
15,13,6,BSA,0
15,13,7,BSA,0
15,13,8,BSA,0
15,13,9,BSA,0
15,13,14,BSA,1
15,13,15,BSA,1
15,13,24,THC,3
15,13,25,THC,4
15,13,30,THC,4
15,13,31,THC,5
15,13,32,THC,5
15,13,33,THC,5
15,13,38,THC,6
15,13,39,THC,6
15,13,44,BSA,3
15,14,48,BIOTIN,12
15,14,55,BIOTIN,14
15,14,56,BIOTIN,14
15,14,63,BIOTIN,16
15,14,69,THC,12
16,14,0,BSA,0
16,14,1,BSA,0
16,14,6,BSA,0
16,14,7,BSA,0
16,14,8,BSA,0
16,14,9,BSA,0
16,14,14,BSA,1
16,14,15,BSA,1
16,14,24,THC,4
16,14,25,THC,4
16,14,30,THC,5
16,14,31,THC,5
16,14,32,THC,5
16,14,33,THC,5
16,14,38,THC,6
16,14,39,THC,6
16,14,44,BSA,3
16,14,48,BIOTIN,12
16,14,55,BIOTIN,14
16,14,56,BIOTIN,14
16,15,63,BIOTIN,17
16,15,69,THC,13
17,15,0,BSA,0
17,15,1,BSA,0
17,15,6,BSA,0
17,15,7,BSA,0
17,15,8,BSA,0
17,15,9,BSA,0
17,15,14,BSA,1
17,15,15,BSA,1
17,15,24,THC,4
17,15,25,THC,4
17,15,30,THC,5
17,15,31,THC,5
17,15,32,THC,6
17,15,33,THC,6
17,15,38,THC,7
17,15,39,THC,7
17,15,44,BSA,4
17,15,48,BIOTIN,13
17,15,55,BIOTIN,15
17,15,56,BIOTIN,15
17,15,63,BIOTIN,17
17,15,69,THC,13
18,15,0,BSA,0
18,15,1,BSA,0
18,15,6,BSA,0
18,15,7,BSA,0
18,16,8,BSA,0
18,16,9,BSA,0
18,16,14,BSA,1
18,16,15,BSA,1
18,16,24,THC,4
18,16,25,THC,5
18,16,30,THC,6
18,16,31,THC,6
18,16,32,THC,6
18,16,33,THC,6
18,16,38,THC,7
18,16,39,THC,7
18,16,44,BSA,4
18,16,48,BIOTIN,14
18,16,55,BIOTIN,16
18,16,56,BIOTIN,16
18,16,63,BIOTIN,19
18,16,69,THC,13
19,16,0,BSA,0
19,16,1,BSA,0
19,16,6,BSA,0
19,16,7,BSA,0
19,16,8,BSA,0
19,16,9,BSA,0
19,16,14,BSA,1
19,16,15,BSA,1
19,16,24,THC,4
19,16,25,THC,5
19,17,30,THC,6
19,17,31,THC,6
19,17,32,THC,6
19,17,33,THC,7
19,17,38,THC,8
19,17,39,THC,8
19,17,44,BSA,4
19,17,48,BIOTIN,15
19,17,55,BIOTIN,17
19,17,56,BIOTIN,17
19,17,63,BIOTIN,20
19,17,69,THC,14
20,17,0,BSA,0
20,17,1,BSA,0
20,17,6,BSA,0
20,17,7,BSA,0
20,17,8,BSA,0
20,17,9,BSA,0
20,17,14,BSA,1
20,17,15,BSA,1
20,17,24,THC,5
20,17,25,THC,5
20,17,30,THC,6
20,17,31,THC,6
20,17,32,THC,6
20,17,33,THC,7
20,17,38,THC,8
20,17,39,THC,8
20,18,44,BSA,4
20,18,48,BIOTIN,16
20,18,55,BIOTIN,18
20,18,56,BIOTIN,18
20,18,63,BIOTIN,21
20,18,69,THC,15
21,18,0,BSA,0
21,18,1,BSA,0
21,18,6,BSA,0
21,18,7,BSA,0
21,18,8,BSA,0
21,18,9,BSA,1
21,18,14,BSA,1
21,18,15,BSA,1
21,18,24,THC,5
21,18,25,THC,5
21,18,30,THC,6
21,18,31,THC,7
21,18,32,THC,7
21,18,33,THC,7
21,18,38,THC,8
21,18,39,THC,8
21,18,44,BSA,4
21,18,48,BIOTIN,16
21,18,55,BIOTIN,18
21,18,56,BIOTIN,18
21,18,63,BIOTIN,21
21,19,69,THC,16
22,19,0,BSA,0
22,19,1,BSA,0
22,19,6,BSA,0
22,19,7,BSA,0
22,19,8,BSA,0
22,19,9,BSA,1
22,19,14,BSA,1
22,19,15,BSA,1
22,19,24,THC,5
22,19,25,THC,5
22,19,30,THC,7
22,19,31,THC,7
22,19,32,THC,7
22,19,33,THC,7
22,19,38,THC,9
22,19,39,THC,9
22,19,44,BSA,5
22,19,48,BIOTIN,17
22,19,55,BIOTIN,19
22,19,56,BIOTIN,19
22,19,63,BIOTIN,22
22,19,69,THC,16
23,19,0,BSA,0
23,19,1,BSA,0
23,19,6,BSA,0
23,19,7,BSA,0
23,19,8,BSA,0
23,20,9,BSA,1
23,20,14,BSA,1
23,20,15,BSA,1
23,20,24,THC,5
23,20,25,THC,6
23,20,30,THC,7
23,20,31,THC,7
23,20,32,THC,7
23,20,33,THC,8
23,20,38,THC,9
23,20,39,THC,9
23,20,44,BSA,5
23,20,48,BIOTIN,17
23,20,55,BIOTIN,20
23,20,56,BIOTIN,20
23,20,63,BIOTIN,23
23,20,69,THC,17
24,20,0,BSA,0
24,20,1,BSA,0
24,20,6,BSA,0
24,20,7,BSA,0
24,20,8,BSA,0
24,20,9,BSA,1
24,20,14,BSA,1
24,20,15,BSA,1
24,20,24,THC,5
24,20,25,THC,6
24,20,30,THC,7
24,21,31,THC,8
24,21,32,THC,8
24,21,33,THC,8
24,21,38,THC,9
24,21,39,THC,10
24,21,44,BSA,5
24,21,48,BIOTIN,18
24,21,55,BIOTIN,21
24,21,56,BIOTIN,21
24,21,63,BIOTIN,24
24,21,69,THC,18
25,21,0,BSA,0
25,21,1,BSA,0
25,21,6,BSA,0
25,21,7,BSA,0
25,21,8,BSA,1
25,21,9,BSA,1
25,21,14,BSA,1
25,21,15,BSA,1
25,21,24,THC,6
25,21,25,THC,6
25,21,30,THC,7
25,21,31,THC,8
25,21,32,THC,8
25,21,33,THC,8
25,21,38,THC,9
25,21,39,THC,10
25,21,44,BSA,5
25,22,48,BIOTIN,19
25,22,55,BIOTIN,22
25,22,56,BIOTIN,22
25,22,63,BIOTIN,25
25,22,69,THC,18
26,22,0,BSA,0
26,22,1,BSA,0
26,22,6,BSA,0
26,22,7,BSA,0
26,22,8,BSA,1
26,22,9,BSA,1
26,22,14,BSA,1
26,22,15,BSA,2
26,22,24,THC,6
26,22,25,THC,6
26,22,30,THC,8
26,22,31,THC,8
26,22,32,THC,8
26,22,33,THC,8
26,22,38,THC,10
26,22,39,THC,10
26,22,44,BSA,5
26,22,48,BIOTIN,19
26,22,55,BIOTIN,22
26,22,56,BIOTIN,22
26,22,63,BIOTIN,25
26,22,69,THC,18
27,22,0,BSA,0
27,23,1,BSA,0
27,23,6,BSA,0
27,23,7,BSA,0
27,23,8,BSA,1
27,23,9,BSA,1
27,23,14,BSA,1
27,23,15,BSA,2
27,23,24,THC,6
27,23,25,THC,7
27,23,30,THC,8
27,23,31,THC,8
27,23,32,THC,9
27,23,33,THC,9
27,23,38,THC,10
27,23,39,THC,11
27,23,44,BSA,6
27,23,48,BIOTIN,20
27,23,55,BIOTIN,23
27,23,56,BIOTIN,23
27,23,63,BIOTIN,26
27,23,69,THC,19
28,23,0,BSA,0
28,23,1,BSA,0
28,23,6,BSA,0
28,23,7,BSA,0
28,23,8,BSA,1
28,23,9,BSA,1
28,24,14,BSA,2
28,24,15,BSA,2
28,24,24,THC,7
28,24,25,THC,7
28,24,30,THC,8
28,24,31,THC,9
28,24,32,THC,9
28,24,33,THC,9
28,24,38,THC,11
28,24,39,THC,11
28,24,44,BSA,6
28,24,48,BIOTIN,21
28,24,55,BIOTIN,24
28,24,56,BIOTIN,24
28,24,63,BIOTIN,27
28,24,69,THC,20
29,24,0,BSA,0
29,24,1,BSA,0
29,24,6,BSA,0
29,24,7,BSA,1
29,24,8,BSA,1
29,24,9,BSA,1
29,24,14,BSA,2
29,24,15,BSA,2
29,24,24,THC,7
29,24,25,THC,7
29,24,30,THC,8
29,24,31,THC,9
29,25,32,THC,9
29,25,33,THC,10
29,25,38,THC,11
29,25,39,THC,11
29,25,44,BSA,6
29,25,48,BIOTIN,22
29,25,55,BIOTIN,25
29,25,56,BIOTIN,25
29,25,63,BIOTIN,29
29,25,69,THC,21
30,25,0,BSA,0
30,25,1,BSA,0
30,25,6,BSA,0
30,25,7,BSA,1
30,25,8,BSA,1
30,25,9,BSA,1
30,25,14,BSA,2
30,25,15,BSA,2
30,25,24,THC,7
30,25,25,THC,7
30,25,30,THC,9
30,25,31,THC,9
30,25,32,THC,9
30,25,33,THC,10
30,25,38,THC,11
30,25,39,THC,11
30,25,44,BSA,6
30,25,48,BIOTIN,22
30,26,55,BIOTIN,26
30,26,56,BIOTIN,26
30,26,63,BIOTIN,30
30,26,69,THC,21
31,26,0,BSA,0
31,26,1,BSA,0
31,26,6,BSA,0
31,26,7,BSA,1
31,26,8,BSA,1
31,26,9,BSA,1
31,26,14,BSA,2
31,26,15,BSA,2
31,26,24,THC,7
31,26,25,THC,7
31,26,30,THC,9
31,26,31,THC,9
31,26,32,THC,10
31,26,33,THC,10
31,26,38,THC,12
31,26,39,THC,12
31,26,44,BSA,6
31,26,48,BIOTIN,22
31,26,55,BIOTIN,26
31,26,56,BIOTIN,26
31,26,63,BIOTIN,30
31,26,69,THC,21
32,26,0,BSA,0
32,26,1,BSA,0
32,27,6,BSA,0
32,27,7,BSA,1
32,27,8,BSA,1
32,27,9,BSA,1
32,27,14,BSA,2
32,27,15,BSA,2
32,27,24,THC,7
32,27,25,THC,8
32,27,30,THC,9
32,27,31,THC,10
32,27,32,THC,10
32,27,33,THC,10
32,27,38,THC,12
32,27,39,THC,12
32,27,44,BSA,7
32,27,48,BIOTIN,23
32,27,55,BIOTIN,27
32,27,56,BIOTIN,27
32,27,63,BIOTIN,31
32,27,69,THC,22
33,27,0,BSA,0
33,27,1,BSA,0
33,27,6,BSA,0
33,27,7,BSA,1
33,27,8,BSA,1
33,27,9,BSA,1
33,27,14,BSA,2
33,27,15,BSA,2
33,28,24,THC,8
33,28,25,THC,8
33,28,30,THC,10
33,28,31,THC,10
33,28,32,THC,10
33,28,33,THC,11
33,28,38,THC,12
33,28,39,THC,13
33,28,44,BSA,7
33,28,48,BIOTIN,24
33,28,55,BIOTIN,28
33,28,56,BIOTIN,28
33,28,63,BIOTIN,32
33,28,69,THC,23
34,28,0,BSA,0
34,28,1,BSA,0
34,28,6,BSA,1
34,28,7,BSA,1
34,28,8,BSA,1
34,28,9,BSA,1
34,28,14,BSA,2
34,28,15,BSA,2
34,28,24,THC,8
34,28,25,THC,8
34,28,30,THC,10
34,28,31,THC,10
34,28,32,THC,10
34,28,33,THC,11
34,29,38,THC,13
34,29,39,THC,13
34,29,44,BSA,7
34,29,48,BIOTIN,25
34,29,55,BIOTIN,28
34,29,56,BIOTIN,29
34,29,63,BIOTIN,33
34,29,69,THC,24
35,29,0,BSA,0
35,29,1,BSA,0
35,29,6,BSA,1
35,29,7,BSA,1
35,29,8,BSA,1
35,29,9,BSA,1
35,29,14,BSA,2
35,29,15,BSA,2
35,29,24,THC,8
35,29,25,THC,8
35,29,30,THC,10
35,29,31,THC,10
35,29,32,THC,11
35,29,33,THC,11
35,29,38,THC,13
35,29,39,THC,13
35,29,44,BSA,7
35,30,48,BIOTIN,26
35,30,55,BIOTIN,29
35,30,56,BIOTIN,30
35,30,63,BIOTIN,34
35,30,69,THC,25
36,30,0,BSA,0
36,30,1,BSA,0
36,30,6,BSA,1
36,30,7,BSA,1
36,30,8,BSA,1
36,30,9,BSA,1
36,30,14,BSA,2
36,30,15,BSA,2
36,30,24,THC,8
36,30,25,THC,9
36,30,30,THC,10
36,30,31,THC,11
36,30,32,THC,11
36,30,33,THC,11
36,30,38,THC,13
36,30,39,THC,14
36,30,44,BSA,7
36,30,48,BIOTIN,26
36,30,55,BIOTIN,29
36,30,56,BIOTIN,30
36,30,63,BIOTIN,34
36,30,69,THC,25
37,30,0,BSA,0
37,31,1,BSA,0
37,31,6,BSA,1
37,31,7,BSA,1
37,31,8,BSA,1
37,31,9,BSA,1
37,31,14,BSA,2
37,31,15,BSA,2
37,31,24,THC,8
37,31,25,THC,9
37,31,30,THC,11
37,31,31,THC,11
37,31,32,THC,11
37,31,33,THC,12
37,31,38,THC,14
37,31,39,THC,14
37,31,44,BSA,8
37,31,48,BIOTIN,26
37,31,55,BIOTIN,30
37,31,56,BIOTIN,31
37,31,63,BIOTIN,35
37,31,69,THC,25
38,31,0,BSA,0
38,31,1,BSA,0
38,31,6,BSA,1
38,31,7,BSA,1
38,31,8,BSA,1
38,31,9,BSA,1
38,31,14,BSA,2
38,32,15,BSA,2
38,32,24,THC,9
38,32,25,THC,9
38,32,30,THC,11
38,32,31,THC,11
38,32,32,THC,12
38,32,33,THC,12
38,32,38,THC,14
38,32,39,THC,14
38,32,44,BSA,8
38,32,48,BIOTIN,27
38,32,55,BIOTIN,31
38,32,56,BIOTIN,32
38,32,63,BIOTIN,36
38,32,69,THC,26
39,32,0,BSA,0
39,32,1,BSA,0
39,32,6,BSA,1
39,32,7,BSA,1
39,32,8,BSA,1
39,32,9,BSA,1
39,32,14,BSA,2
39,32,15,BSA,2
39,32,24,THC,9
39,32,25,THC,9
39,32,30,THC,11
39,32,31,THC,11
39,32,32,THC,12
39,33,33,THC,13
39,33,38,THC,15
39,33,39,THC,15
39,33,44,BSA,8
39,33,48,BIOTIN,28
39,33,55,BIOTIN,32
39,33,56,BIOTIN,33
39,33,63,BIOTIN,37
39,33,69,THC,27
40,33,0,BSA,0
40,33,1,BSA,0
40,33,6,BSA,1
40,33,7,BSA,1
40,33,8,BSA,1
40,33,9,BSA,1
40,33,14,BSA,2
40,33,15,BSA,2
40,33,24,THC,9
40,33,25,THC,9
40,33,30,THC,11
40,33,31,THC,12
40,33,32,THC,12
40,33,33,THC,13
40,33,38,THC,15
40,33,39,THC,15
40,33,44,BSA,8
40,33,48,BIOTIN,28
40,34,55,BIOTIN,33
40,34,56,BIOTIN,34
40,34,63,BIOTIN,38
40,34,69,THC,27
41,34,0,BSA,0
41,34,1,BSA,0
41,34,6,BSA,1
41,34,7,BSA,1
41,34,8,BSA,1
41,34,9,BSA,1
41,34,14,BSA,2
41,34,15,BSA,3
41,34,24,THC,9
41,34,25,THC,10
41,34,30,THC,12
41,34,31,THC,12
41,34,32,THC,12
41,34,33,THC,13
41,34,38,THC,15
41,34,39,THC,15
41,34,44,BSA,8
41,34,48,BIOTIN,29
41,34,55,BIOTIN,33
41,34,56,BIOTIN,34
41,34,63,BIOTIN,38
41,34,69,THC,27
42,34,0,BSA,0
42,34,1,BSA,0
42,35,6,BSA,1
42,35,7,BSA,1
42,35,8,BSA,1
42,35,9,BSA,1
42,35,14,BSA,2
42,35,15,BSA,3
42,35,24,THC,9
42,35,25,THC,10
42,35,30,THC,12
42,35,31,THC,12
42,35,32,THC,13
42,35,33,THC,13
42,35,38,THC,15
42,35,39,THC,16
42,35,44,BSA,9
42,35,48,BIOTIN,29
42,35,55,BIOTIN,34
42,35,56,BIOTIN,34
42,35,63,BIOTIN,39
42,35,69,THC,28
43,35,0,BSA,0
43,35,1,BSA,0
43,35,6,BSA,1
43,35,7,BSA,1
43,35,8,BSA,1
43,35,9,BSA,1
43,35,14,BSA,2
43,35,15,BSA,3
43,36,24,THC,10
43,36,25,THC,10
43,36,30,THC,12
43,36,31,THC,13
43,36,32,THC,13
43,36,33,THC,14
43,36,38,THC,16
43,36,39,THC,16
43,36,44,BSA,9
43,36,48,BIOTIN,30
43,36,55,BIOTIN,35
43,36,56,BIOTIN,35
43,36,63,BIOTIN,40
43,36,69,THC,29
44,36,0,BSA,0
44,36,1,BSA,0
44,36,6,BSA,1
44,36,7,BSA,1
44,36,8,BSA,1
44,36,9,BSA,1
44,36,14,BSA,2
44,36,15,BSA,3
44,36,24,THC,10
44,36,25,THC,10
44,36,30,THC,12
44,36,31,THC,13
44,36,32,THC,13
44,36,33,THC,14
44,37,38,THC,16
44,37,39,THC,17
44,37,44,BSA,9
44,37,48,BIOTIN,31
44,37,55,BIOTIN,36
44,37,56,BIOTIN,36
44,37,63,BIOTIN,41
44,37,69,THC,30
45,37,0,BSA,0
45,37,1,BSA,0
45,37,6,BSA,1
45,37,7,BSA,1
45,37,8,BSA,1
45,37,9,BSA,1
45,37,14,BSA,3
45,37,15,BSA,3
45,37,24,THC,10
45,37,25,THC,10
45,37,30,THC,13
45,37,31,THC,13
45,37,32,THC,13
45,37,33,THC,14
45,37,38,THC,16
45,37,39,THC,17
45,37,44,BSA,9
45,37,48,BIOTIN,31
45,37,55,BIOTIN,36
45,37,56,BIOTIN,36
45,38,63,BIOTIN,42
45,38,69,THC,30
46,38,0,BSA,0
46,38,1,BSA,0
46,38,6,BSA,1
46,38,7,BSA,1
46,38,8,BSA,1
46,38,9,BSA,2
46,38,14,BSA,3
46,38,15,BSA,3
46,38,24,THC,10
46,38,25,THC,11
46,38,30,THC,13
46,38,31,THC,13
46,38,32,THC,14
46,38,33,THC,14
46,38,38,THC,17
46,38,39,THC,17
46,38,44,BSA,9
46,38,48,BIOTIN,32
46,38,55,BIOTIN,36
46,38,56,BIOTIN,37
46,38,63,BIOTIN,42
46,38,69,THC,30
47,38,0,BSA,0
47,38,1,BSA,0
47,38,6,BSA,1
47,38,7,BSA,1
47,39,8,BSA,1
47,39,9,BSA,2
47,39,14,BSA,3
47,39,15,BSA,3
47,39,24,THC,10
47,39,25,THC,11
47,39,30,THC,13
47,39,31,THC,14
47,39,32,THC,14
47,39,33,THC,15
47,39,38,THC,17
47,39,39,THC,17
47,39,44,BSA,10
47,39,48,BIOTIN,32
47,39,55,BIOTIN,37
47,39,56,BIOTIN,38
47,39,63,BIOTIN,43
47,39,69,THC,31
48,39,0,BSA,0
48,39,1,BSA,0
48,39,6,BSA,1
48,39,7,BSA,1
48,39,8,BSA,1
48,39,9,BSA,2
48,39,14,BSA,3
48,39,15,BSA,3
48,39,24,THC,10
48,39,25,THC,11
48,40,30,THC,14
48,40,31,THC,14
48,40,32,THC,14
48,40,33,THC,15
48,40,38,THC,17
48,40,39,THC,18
48,40,44,BSA,10
48,40,48,BIOTIN,33
48,40,55,BIOTIN,38
48,40,56,BIOTIN,39
48,40,63,BIOTIN,44
48,40,69,THC,32
49,40,0,BSA,0
49,40,1,BSA,0
49,40,6,BSA,1
49,40,7,BSA,1
49,40,8,BSA,1
49,40,9,BSA,2
49,40,14,BSA,3
49,40,15,BSA,3
49,40,24,THC,11
49,40,25,THC,11
49,40,30,THC,14
49,40,31,THC,14
49,40,32,THC,14
49,40,33,THC,15
49,40,38,THC,17
49,40,39,THC,18
49,41,44,BSA,10
49,41,48,BIOTIN,34
49,41,55,BIOTIN,39
49,41,56,BIOTIN,40
49,41,63,BIOTIN,45
49,41,69,THC,32
50,41,0,BSA,0
50,41,1,BSA,0
50,41,6,BSA,1
50,41,7,BSA,1
50,41,8,BSA,1
50,41,9,BSA,2
50,41,14,BSA,3
50,41,15,BSA,3
50,41,24,THC,11
50,41,25,THC,11
50,41,30,THC,14
50,41,31,THC,14
50,41,32,THC,15
50,41,33,THC,15
50,41,38,THC,18
50,41,39,THC,18
50,41,44,BSA,10
50,41,48,BIOTIN,34
50,41,55,BIOTIN,39
50,41,56,BIOTIN,40
50,41,63,BIOTIN,45
50,42,69,THC,33
51,42,0,BSA,0
51,42,1,BSA,0
51,42,6,BSA,1
51,42,7,BSA,1
51,42,8,BSA,1
51,42,9,BSA,2
51,42,14,BSA,3
51,42,15,BSA,3
51,42,24,THC,11
51,42,25,THC,12
51,42,30,THC,14
51,42,31,THC,15
51,42,32,THC,15
51,42,33,THC,16
51,42,38,THC,18
51,42,39,THC,19
51,42,44,BSA,10
51,42,48,BIOTIN,35
51,42,55,BIOTIN,40
51,42,56,BIOTIN,41
51,42,63,BIOTIN,46
51,42,69,THC,33
52,42,0,BSA,0
52,42,1,BSA,0
52,42,6,BSA,1
